age,profession,martial_status,education,house,loan,gender,ava_bal,assets,car,bike,fraud
52,2,2,1,1,1,0,34315,49472,1,0,0
48,4,1,1,1,0,0,49104,29378,1,0,1
23,6,0,0,0,0,1,1683,40290,1,0,1
49,7,2,1,1,1,1,22363,9430,0,0,1
60,1,2,2,1,0,0,30493,23056,1,0,1
63,3,1,1,1,1,1,21188,35166,0,1,1
39,7,1,2,1,1,0,26680,16387,1,1,0
25,5,0,0,0,1,1,45615,38966,1,1,1
53,1,1,2,1,1,1,18837,47122,1,0,1
43,5,2,1,1,1,0,18594,16494,0,1,0
26,5,0,0,0,1,1,2391,6553,1,0,0
29,5,0,0,1,0,0,15069,4165,1,0,0
44,7,1,1,1,0,1,37164,32469,0,0,0
62,1,2,2,1,1,1,40310,2229,0,0,1
32,5,2,1,1,1,1,41139,40272,0,1,0
58,2,2,2,1,1,0,28826,46239,1,1,0
34,7,2,1,1,1,1,18634,16543,1,0,1
25,5,0,0,0,1,0,31079,34454,1,0,0
35,6,2,1,1,1,1,42464,43339,0,1,0
24,5,0,0,0,1,1,36136,46878,0,0,0
30,5,0,2,1,0,0,47685,41799,0,0,0
46,5,1,1,1,0,1,37182,14026,0,1,1
60,1,1,1,1,1,1,43377,15666,1,0,1
51,4,1,1,1,1,1,22616,31938,1,0,0
57,2,1,2,1,1,0,42038,17014,0,1,1
23,7,0,0,0,1,0,27217,44802,0,0,1
38,5,2,1,1,1,1,31799,29141,0,0,0
44,4,1,2,1,1,0,9743,45577,0,1,1
26,6,0,0,0,0,0,39719,47392,1,0,1
60,2,1,1,1,1,0,16660,12451,0,0,0
23,5,0,0,0,0,0,38469,21109,1,1,0
47,7,2,2,1,1,1,32792,34995,0,0,0
48,5,2,2,1,1,1,12225,7928,1,1,1
39,6,2,1,1,0,1,30083,4419,1,1,1
59,3,1,2,1,0,0,14995,19223,0,1,1
58,3,2,1,1,1,1,48828,19811,0,0,0
34,5,2,2,1,0,1,2880,45332,0,1,1
48,5,1,2,1,1,1,38707,48495,0,0,1
54,1,1,1,1,1,0,3646,22452,1,1,1
23,5,0,0,0,1,1,14213,13651,0,0,0
56,3,2,2,1,1,0,36279,33476,1,0,1
27,7,0,0,1,1,0,37607,10315,0,0,1
39,7,1,1,1,0,0,3931,34383,0,1,0
42,5,1,2,1,1,1,20601,3031,0,1,0
44,6,1,2,1,1,0,41007,13924,1,1,0
64,3,1,1,1,1,1,43761,44512,0,1,0
63,2,1,1,1,0,0,39414,39260,1,1,1
44,7,1,1,1,0,1,3991,4994,0,1,0
49,6,1,1,1,1,0,25821,23120,0,0,1
62,2,2,2,1,1,0,37291,44832,1,1,0
40,5,2,2,1,1,1,20759,40606,1,1,0
43,5,2,1,1,1,0,36253,6331,1,0,0
29,4,0,0,1,1,1,20075,13112,1,0,0
24,6,0,0,0,0,0,39112,11932,1,0,1
61,1,1,1,1,0,0,18231,6342,1,1,0
63,1,2,1,1,1,0,13119,7531,1,0,0
64,3,2,2,1,0,1,8138,15758,1,0,1
29,4,0,0,1,1,1,2429,27202,0,1,1
55,3,1,1,1,0,0,47842,29730,1,0,0
24,5,0,0,0,1,0,23752,39464,1,1,0
36,4,1,1,1,1,0,4309,30066,0,1,0
59,2,1,2,1,0,0,20050,14980,1,0,0
64,1,1,1,1,1,0,11170,33106,1,1,0
47,7,2,1,1,0,1,47897,38034,1,0,0
37,5,2,1,1,1,0,16083,37492,0,1,0
44,5,1,2,1,1,1,26949,13727,1,0,1
24,6,0,0,0,1,1,2507,38860,0,1,1
39,7,2,1,1,0,0,10772,31346,1,1,0
46,4,1,2,1,0,1,187,39835,1,0,0
26,6,0,0,0,0,1,9825,45167,0,0,1
59,2,1,2,1,0,1,31003,36632,0,0,1
45,5,1,1,1,0,1,8069,40196,1,0,0
21,5,0,0,0,0,0,39826,24761,0,0,0
41,5,2,1,1,0,0,8244,45182,0,1,1
38,4,2,2,1,1,0,7506,6661,0,0,1
22,5,0,0,0,1,0,21010,2018,1,0,1
54,1,2,1,1,1,1,39380,20684,1,1,1
26,5,0,0,0,0,0,28071,23498,1,0,1
20,6,0,0,0,1,1,6562,7524,0,1,1
58,1,2,2,1,1,1,44172,35219,0,1,1
25,4,0,0,0,1,0,47592,29486,1,1,1
65,1,2,1,1,0,0,5313,12775,0,1,0
20,7,0,0,0,0,1,42674,13056,0,0,0
55,1,2,1,1,0,0,31246,3904,1,1,0
21,4,0,0,0,0,1,44701,3893,0,0,1
63,1,2,1,1,1,0,22602,35936,0,0,0
57,1,1,1,1,1,1,27534,48191,0,1,0
48,4,2,2,1,0,0,5200,23903,1,0,0
65,2,1,2,1,0,1,37237,31142,1,0,0
35,4,2,1,1,0,0,38451,3533,1,0,0
57,3,2,1,1,0,1,13044,6118,1,1,0
22,7,0,0,0,0,0,2483,37112,1,1,0
58,2,1,2,1,1,0,45330,31218,1,0,1
40,5,1,2,1,1,0,21952,41479,0,0,1
47,7,1,2,1,0,1,3310,13465,1,1,0
51,4,1,2,1,1,0,27003,13430,0,0,1
22,4,0,0,0,0,1,15108,24632,1,1,0
21,4,0,0,0,0,1,20535,39838,0,1,1
30,6,0,1,1,1,1,24200,6656,0,0,0
28,5,0,0,1,1,0,30025,36398,0,0,0
25,5,0,0,0,0,0,2118,37423,0,0,1
27,7,0,0,1,0,1,3784,20105,1,1,0
38,4,2,1,1,1,0,35638,33731,1,0,1
62,3,2,2,1,0,1,45888,36399,1,1,0
39,4,2,2,1,0,0,49461,32407,1,0,1
53,1,1,1,1,0,1,13838,38053,1,0,0
32,6,1,2,1,0,1,12834,49208,0,1,1
50,6,2,1,1,0,1,23379,35716,1,0,1
58,2,2,2,1,1,0,16837,1094,1,1,0
64,2,2,2,1,0,1,93,16279,1,1,0
63,1,2,1,1,0,0,34636,969,0,1,0
48,5,1,1,1,1,1,26308,45910,0,0,1
50,4,1,1,1,1,0,47832,46150,1,1,1
41,7,1,1,1,0,1,34621,22534,0,0,0
28,7,0,0,1,0,1,35273,42088,1,0,0
59,2,2,2,1,1,0,35422,2899,1,1,1
34,4,2,1,1,0,0,17254,28914,0,1,0
22,6,0,0,0,1,1,2332,49292,0,0,0
47,7,1,2,1,1,0,18476,34247,1,0,1
35,4,1,2,1,0,1,37738,18613,1,0,1
21,7,0,0,0,0,1,48933,26346,1,0,0
48,4,1,2,1,0,1,39018,27912,1,0,1
57,1,1,1,1,1,0,41750,39244,0,1,0
31,6,1,2,1,0,0,5549,32794,1,0,1
34,7,2,2,1,1,0,18116,37092,1,1,1
46,7,2,2,1,0,1,21521,28564,0,0,1
53,1,1,2,1,1,1,30930,4345,1,1,0
39,5,2,2,1,0,1,143,20829,0,0,0
62,1,2,2,1,0,1,40065,6517,0,0,1
33,5,2,1,1,0,1,30785,15216,0,0,1
35,4,2,2,1,0,1,11215,22662,0,0,1
59,1,2,1,1,0,1,42962,27902,0,1,0
62,3,2,1,1,0,0,24579,45916,1,0,1
63,2,1,2,1,0,1,23488,33654,0,1,1
43,7,1,1,1,1,1,3676,39242,1,1,0
33,5,1,1,1,1,1,44112,3657,0,0,1
57,3,1,1,1,1,0,24994,11971,1,1,1
50,4,1,2,1,0,1,12589,17469,0,1,0
32,7,2,1,1,0,1,17030,26654,0,1,0
23,6,0,0,0,1,0,12475,47198,1,1,0
57,3,2,2,1,1,0,604,11029,1,1,1
32,5,1,1,1,1,0,22877,48513,1,0,1
35,7,1,2,1,0,0,36866,29197,1,0,1
29,6,0,0,1,1,1,20089,13494,0,0,0
60,2,1,2,1,1,0,45983,38971,0,0,1
37,5,2,1,1,1,0,33422,25773,1,1,0
51,7,1,2,1,0,1,3237,32476,1,1,1
51,7,2,2,1,1,1,23815,38326,0,0,1
